Date of Purchase,Date of Install,User Segment,Item-Purchased,Session Time,Level Reached,Prior Purchases,Purchase Type,Promo Applied,Price (₹)
04/02/2023,30/01/2023,Casual,Season Pass,01h 40m,7,1,Subscription,No,424
19/01/2023,29/12/2022,Hardcore,Premium Weapon,02h 33m,11,8,One-time,No,244
24/01/2023,05/01/2023,Casual,Limited-Time Offer Pack,01h 54m,35,2,One-time,No,90
21/01/2023,28/12/2022,Casual,Ultra Bundle,02h 58m,16,4,One-time,No,655
09/02/2023,08/02/2023,Whales,Power-Up Bundle,00h 39m,4,7,One-time,No,167
31/01/2023,18/01/2023,Casual,Limited-Time Offer Pack,02h 24m,10,4,One-time,No,74
30/01/2023,18/01/2023,Hardcore,Season Pass,01h 52m,17,2,Subscription,Yes,545
06/02/2023,29/01/2023,Hardcore,Ultra Bundle,02h 36m,30,8,One-time,No,643
11/02/2023,02/02/2023,Casual,Power-Up Bundle,01h 02m,36,1,One-time,No,232
05/02/2023,07/01/2023,Casual,Character Skin,02h 21m,15,5,One-time,No,179
21/01/2023,16/01/2023,Casual,Lifetime Membership,02h 57m,38,1,Subscription,No,847
12/02/2023,31/01/2023,Casual,Lifetime Membership,00h 21m,3,5,Subscription,No,877
06/02/2023,21/01/2023,Casual,Ultra Bundle,01h 24m,33,1,One-time,Yes,635
21/01/2023,31/12/2022,Casual,Coin Pack - 1000,01h 18m,25,5,One-time,No,87
05/02/2023,17/01/2023,Casual,Ultra Bundle,02h 37m,15,0,One-time,No,677
15/01/2023,18/12/2022,Casual,Coin Pack - 5000,02h 19m,29,2,One-time,No,228
11/02/2023,12/01/2023,Hardcore,Coin Pack - 10000,02h 50m,8,15,One-time,No,432
29/01/2023,13/01/2023,Casual,Character Skin,00h 32m,23,5,One-time,No,175
25/01/2023,05/01/2023,Casual,Ultra Bundle,02h 04m,30,4,One-time,Yes,553
26/01/2023,06/01/2023,Casual,Character Skin,01h 21m,31,2,One-time,No,137
08/02/2023,07/02/2023,Casual,Limited-Time Offer Pack,01h 20m,2,0,One-time,Yes,89
29/01/2023,02/01/2023,Casual,Character Skin,00h 26m,35,2,One-time,Yes,183
25/01/2023,08/01/2023,Whales,Power-Up Bundle,01h 08m,23,0,One-time,No,214
