Date of Purchase,Date of Install,User Segment,Item-Purchased,Session Time,Level Reached,Prior Purchases,Purchase Type,Promo Applied,Price (₹),Days Installed Before Last Purchase
2023-02-04,2023-01-30,0,8,100,7,1,1,0,424,5
2023-01-19,2022-12-29,1,7,153,11,8,0,0,244,21
2023-01-24,2023-01-05,0,5,114,35,2,0,0,90,19
2023-01-21,2022-12-28,0,9,178,16,4,0,0,655,24
2023-02-09,2023-02-08,2,6,39,4,7,0,0,167,1
2023-01-31,2023-01-18,0,5,144,10,4,0,0,74,13
2023-01-30,2023-01-18,1,8,112,17,2,1,1,545,12
2023-02-06,2023-01-29,1,9,156,30,8,0,0,643,8
2023-02-11,2023-02-02,0,6,62,36,1,0,0,232,9
2023-02-05,2023-01-07,0,0,141,15,5,0,0,179,29
2023-01-21,2023-01-16,0,4,177,38,1,1,0,847,5
2023-02-12,2023-01-31,0,4,21,3,5,1,0,877,12
2023-02-06,2023-01-21,0,9,84,33,1,0,1,635,16
2023-01-21,2022-12-31,0,1,78,25,5,0,0,87,21
2023-02-05,2023-01-17,0,9,157,15,0,0,0,677,19
2023-01-15,2022-12-18,0,3,139,29,2,0,0,228,28
2023-02-11,2023-01-12,1,2,170,8,15,0,0,432,30
2023-01-29,2023-01-13,0,0,32,23,5,0,0,175,16
2023-01-25,2023-01-05,0,9,124,30,4,0,1,553,20
2023-01-26,2023-01-06,0,0,81,31,2,0,0,137,20
2023-02-08,2023-02-07,0,5,80,2,0,0,1,89,1
2023-01-29,2023-01-02,0,0,26,35,2,0,1,183,27
2023-01-25,2023-01-08,2,6,68,23,0,0,0,214,17
2023-01-18,2022-12-20,0,7,149,14,1,0,0,220,29
2023-01-23,2022-12-28,2,2,168,7,1,0,1,355,26
2023-02-03,2023-01-05,1,0,44,33,15,0,0,176,29
2023-02-01,2023-01-30,1,5,96,29,6,0,0,66,2
2023-02-04,2023-01-18,0,0,39,40,3,0,0,116,17
2023-02-08,2023-01-15,0,5,177,28,4,0,0,70,24
2023-01-19,2022-12-27,0,4,83,11,1,1,0,873,23
2023-01-30,2023-01-02,1,6,41,15,7,0,0,163,28
2023-02-03,2023-01-10,0,3,145,3,3,0,0,201,24
2023-01-15,2022-12-20,0,3,83,21,0,0,0,239,26
2023-02-01,2023-01-22,1,8,54,27,14,1,0,495,10
2023-01-19,2022-12-23,1,3,127,10,11,0,0,220,27
2023-02-06,2023-01-29,0,1,26,19,1,0,1,96,8
2023-01-26,2022-12-27,0,9,88,34,4,0,0,591,30
2023-01-22,2022-12-28,1,0,117,12,4,0,1,132,25
2023-01-19,2023-01-16,1,4,152,18,11,1,0,870,3
2023-02-12,2023-02-01,0,4,105,6,1,1,0,968,11
2023-01-15,2023-01-02,1,3,135,14,13,0,0,207,13
2023-02-09,2023-01-10,0,8,43,23,3,1,0,451,30
2023-02-10,2023-02-02,0,1,53,31,2,0,1,87,8
2023-02-02,2023-01-08,0,1,13,32,2,0,0,95,25
2023-01-27,2023-01-07,0,7,155,29,3,0,0,226,20
2023-01-28,2023-01-07,0,3,175,21,3,0,0,224,21
2023-01-22,2023-01-14,0,6,61,6,4,0,0,248,8
2023-01-29,2023-01-12,1,8,45,8,11,1,0,549,17
2023-02-12,2023-01-30,2,2,15,36,7,0,0,469,13
2023-01-27,2023-01-24,1,0,163,24,10,0,0,113,3
2023-01-15,2023-01-13,2,3,100,28,5,0,1,238,2
2023-02-09,2023-01-13,0,8,80,36,3,1,1,593,27
2023-01-24,2022-12-25,1,4,68,11,0,1,0,814,30
2023-02-08,2023-01-30,0,8,73,28,3,1,0,572,9
2023-01-26,2023-01-10,1,1,133,9,11,0,0,98,16
2023-01-27,2023-01-08,0,5,50,6,4,0,0,75,19
2023-02-04,2023-01-18,1,0,62,33,3,0,0,134,17
2023-01-16,2023-01-13,1,2,157,27,5,0,0,412,3
2023-02-02,2023-01-19,0,0,135,21,1,0,0,122,14
2023-02-09,2023-01-13,0,4,124,36,4,1,0,818,27
2023-01-17,2022-12-25,0,3,160,12,5,0,1,206,23
2023-02-04,2023-01-20,0,3,46,36,4,0,1,207,15
2023-01-21,2022-12-31,0,0,11,40,5,0,1,111,21
2023-01-25,2023-01-08,0,1,83,7,3,0,0,96,17
2023-01-20,2023-01-14,0,2,139,21,0,0,1,424,6
2023-02-04,2023-01-27,1,5,156,35,6,0,0,49,8
2023-02-04,2023-01-14,0,4,72,12,5,1,0,936,21
2023-01-29,2023-01-10,0,7,95,10,2,0,1,223,19
2023-01-26,2023-01-22,0,7,84,14,4,0,0,219,4
2023-02-11,2023-01-20,1,4,145,27,7,1,1,954,22
